ALPETTE;WALTER VELTRONI ;PARTITO DEMOCRATICO;47;;
ALPETTE;;DI PIETRO ITALIA DEI VALORI;6;;
ALPETTE;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';68;;
ALPETTE;;LEGA NORD;28;;
ALPETTE;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;3;;
ALPETTE;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;15;;
ALPETTE;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;1;;
ALPETTE;STEFANO DE LUCA ;P.LIBERALE ITALIANO;2;;
ALPETTE;ENRICO BOSELLI ;PARTITO SOCIALISTA;1;;
ALPETTE;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;0;;
ALPETTE;FLAVIA D'ANGELI ;SINISTRA CRITICA;3;;
ALPETTE;STEFANO MONTANARI ;PER IL BENE COMUNE;0;;
ALPETTE;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;1;;
ALPETTE;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1;;
ALPETTE;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;0;;
ALPIGNANO;WALTER VELTRONI ;PARTITO DEMOCRATICO;4092;;
ALPIGNANO;;DI PIETRO ITALIA DEI VALORI;728;;
ALPIGNANO;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';3533;;
ALPIGNANO;;LEGA NORD;879;;
ALPIGNANO;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;545;;
ALPIGNANO;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;515;;
ALPIGNANO;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;357;;
ALPIGNANO;STEFANO DE LUCA ;P.LIBERALE ITALIANO;54;;
ALPIGNANO;ENRICO BOSELLI ;PARTITO SOCIALISTA;58;;
ALPIGNANO;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;25;;
ALPIGNANO;FLAVIA D'ANGELI ;SINISTRA CRITICA;64;;
ALPIGNANO;STEFANO MONTANARI ;PER IL BENE COMUNE;50;;
ALPIGNANO;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;104;;
ALPIGNANO;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;6;;
ALPIGNANO;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;40;;
ANDEZENO;WALTER VELTRONI ;PARTITO DEMOCRATICO;243;;
ANDEZENO;;DI PIETRO ITALIA DEI VALORI;53;;
ANDEZENO;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';514;;
ANDEZENO;;LEGA NORD;199;;
ANDEZENO;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;37;;
ANDEZENO;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;93;;
ANDEZENO;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;46;;
ANDEZENO;STEFANO DE LUCA ;P.LIBERALE ITALIANO;5;;
ANDEZENO;ENRICO BOSELLI ;PARTITO SOCIALISTA;3;;
ANDEZENO;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;4;;
ANDEZENO;FLAVIA D'ANGELI ;SINISTRA CRITICA;9;;
ANDEZENO;STEFANO MONTANARI ;PER IL BENE COMUNE;4;;
ANDEZENO;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;4;;
ANDEZENO;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1;;
ANDEZENO;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;3;;
ANDRATE;WALTER VELTRONI ;PARTITO DEMOCRATICO;64;;
ANDRATE;;DI PIETRO ITALIA DEI VALORI;15;;
ANDRATE;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';86;;
ANDRATE;;LEGA NORD;37;;
ANDRATE;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;11;;
ANDRATE;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;17;;
ANDRATE;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;13;;
ANDRATE;STEFANO DE LUCA ;P.LIBERALE ITALIANO;3;;
ANDRATE;ENRICO BOSELLI ;PARTITO SOCIALISTA;11;;
ANDRATE;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;0;;
ANDRATE;FLAVIA D'ANGELI ;SINISTRA CRITICA;4;;
ANDRATE;STEFANO MONTANARI ;PER IL BENE COMUNE;1;;
ANDRATE;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;4;;
ANDRATE;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
ANDRATE;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;1;;
ANGROGNA;WALTER VELTRONI ;PARTITO DEMOCRATICO;156;;
ANGROGNA;;DI PIETRO ITALIA DEI VALORI;13;;
ANGROGNA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';132;;
ANGROGNA;;LEGA NORD;66;;
ANGROGNA;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;58;;
ANGROGNA;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;16;;
ANGROGNA;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;11;;
ANGROGNA;STEFANO DE LUCA ;P.LIBERALE ITALIANO;3;;
ANGROGNA;ENRICO BOSELLI ;PARTITO SOCIALISTA;10;;
ANGROGNA;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;1;;
ANGROGNA;FLAVIA D'ANGELI ;SINISTRA CRITICA;5;;
ANGROGNA;STEFANO MONTANARI ;PER IL BENE COMUNE;4;;
ANGROGNA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;6;;
ANGROGNA;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
ANGROGNA;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;1;;
ARIGNANO;WALTER VELTRONI ;PARTITO DEMOCRATICO;151;;
ARIGNANO;;DI PIETRO ITALIA DEI VALORI;20;;
ARIGNANO;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';282;;
ARIGNANO;;LEGA NORD;118;;
ARIGNANO;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;7;;
ARIGNANO;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;49;;
ARIGNANO;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;11;;
ARIGNANO;STEFANO DE LUCA ;P.LIBERALE ITALIANO;3;;
ARIGNANO;ENRICO BOSELLI ;PARTITO SOCIALISTA;6;;
ARIGNANO;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;3;;
ARIGNANO;FLAVIA D'ANGELI ;SINISTRA CRITICA;5;;
ARIGNANO;STEFANO MONTANARI ;PER IL BENE COMUNE;3;;
ARIGNANO;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;2;;
ARIGNANO;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
ARIGNANO;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;2;;
AVIGLIANA;WALTER VELTRONI ;PARTITO DEMOCRATICO;2407;;
AVIGLIANA;;DI PIETRO ITALIA DEI VALORI;388;;
AVIGLIANA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';2597;;
AVIGLIANA;;LEGA NORD;689;;
AVIGLIANA;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;446;;
AVIGLIANA;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;343;;
AVIGLIANA;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;284;;
AVIGLIANA;STEFANO DE LUCA ;P.LIBERALE ITALIANO;38;;
AVIGLIANA;ENRICO BOSELLI ;PARTITO SOCIALISTA;41;;
AVIGLIANA;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;25;;
AVIGLIANA;FLAVIA D'ANGELI ;SINISTRA CRITICA;60;;
AVIGLIANA;STEFANO MONTANARI ;PER IL BENE COMUNE;77;;
AVIGLIANA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;55;;
AVIGLIANA;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;7;;
AVIGLIANA;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;23;;
AZEGLIO;WALTER VELTRONI ;PARTITO DEMOCRATICO;203;;
AZEGLIO;;DI PIETRO ITALIA DEI VALORI;47;;
AZEGLIO;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';291;;
AZEGLIO;;LEGA NORD;128;;
AZEGLIO;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;18;;
AZEGLIO;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;48;;
AZEGLIO;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;37;;
AZEGLIO;STEFANO DE LUCA ;P.LIBERALE ITALIANO;4;;
AZEGLIO;ENRICO BOSELLI ;PARTITO SOCIALISTA;16;;
AZEGLIO;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;2;;
AZEGLIO;FLAVIA D'ANGELI ;SINISTRA CRITICA;8;;
AZEGLIO;STEFANO MONTANARI ;PER IL BENE COMUNE;6;;
AZEGLIO;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;6;;
AZEGLIO;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
AZEGLIO;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;2;;
BAIRO;WALTER VELTRONI ;PARTITO DEMOCRATICO;108;;
BAIRO;;DI PIETRO ITALIA DEI VALORI;21;;
BAIRO;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';199;;
BAIRO;;LEGA NORD;81;;
BAIRO;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;20;;
BAIRO;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;28;;
BAIRO;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;15;;
BAIRO;STEFANO DE LUCA ;P.LIBERALE ITALIANO;4;;
BAIRO;ENRICO BOSELLI ;PARTITO SOCIALISTA;7;;
BAIRO;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;5;;
BAIRO;FLAVIA D'ANGELI ;SINISTRA CRITICA;4;;
BAIRO;STEFANO MONTANARI ;PER IL BENE COMUNE;6;;
BAIRO;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;1;;
BAIRO;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
BAIRO;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;1;;
BALANGERO;WALTER VELTRONI ;PARTITO DEMOCRATICO;551;;
BALANGERO;;DI PIETRO ITALIA DEI VALORI;105;;
BALANGERO;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';642;;
BALANGERO;;LEGA NORD;315;;
BALANGERO;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;66;;
BALANGERO;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;146;;
BALANGERO;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;46;;
BALANGERO;STEFANO DE LUCA ;P.LIBERALE ITALIANO;13;;
BALANGERO;ENRICO BOSELLI ;PARTITO SOCIALISTA;7;;
BALANGERO;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;4;;
BALANGERO;FLAVIA D'ANGELI ;SINISTRA CRITICA;13;;
BALANGERO;STEFANO MONTANARI ;PER IL BENE COMUNE;12;;
BALANGERO;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;24;;
BALANGERO;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1;;
BALANGERO;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;9;;
BALDISSERO CANAVESE;WALTER VELTRONI ;PARTITO DEMOCRATICO;84;;
BALDISSERO CANAVESE;;DI PIETRO ITALIA DEI VALORI;10;;
BALDISSERO CANAVESE;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';126;;
BALDISSERO CANAVESE;;LEGA NORD;47;;
BALDISSERO CANAVESE;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;39;;
BALDISSERO CANAVESE;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;13;;
BALDISSERO CANAVESE;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;19;;
BALDISSERO CANAVESE;STEFANO DE LUCA ;P.LIBERALE ITALIANO;1;;
BALDISSERO CANAVESE;ENRICO BOSELLI ;PARTITO SOCIALISTA;7;;
BALDISSERO CANAVESE;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;0;;
BALDISSERO CANAVESE;FLAVIA D'ANGELI ;SINISTRA CRITICA;1;;
BALDISSERO CANAVESE;STEFANO MONTANARI ;PER IL BENE COMUNE;2;;
BALDISSERO CANAVESE;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;2;;
BALDISSERO CANAVESE;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
BALDISSERO CANAVESE;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;0;;
BALDISSERO TORINESE;WALTER VELTRONI ;PARTITO DEMOCRATICO;688;;
BALDISSERO TORINESE;;DI PIETRO ITALIA DEI VALORI;152;;
BALDISSERO TORINESE;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';895;;
BALDISSERO TORINESE;;LEGA NORD;301;;
BALDISSERO TORINESE;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;71;;
BALDISSERO TORINESE;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;101;;
BALDISSERO TORINESE;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;74;;
BALDISSERO TORINESE;STEFANO DE LUCA ;P.LIBERALE ITALIANO;18;;
BALDISSERO TORINESE;ENRICO BOSELLI ;PARTITO SOCIALISTA;15;;
BALDISSERO TORINESE;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;15;;
BALDISSERO TORINESE;FLAVIA D'ANGELI ;SINISTRA CRITICA;13;;
BALDISSERO TORINESE;STEFANO MONTANARI ;PER IL BENE COMUNE;11;;
BALDISSERO TORINESE;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;7;;
BALDISSERO TORINESE;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
BALDISSERO TORINESE;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;4;;
BALME;WALTER VELTRONI ;PARTITO DEMOCRATICO;21;;
BALME;;DI PIETRO ITALIA DEI VALORI;2;;
BALME;SILVIO BERLUSCONI ;LEGA NORD;23;;
BALME;;IL POPOLO DELLA LIBERTA';8;;
BALME;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;2;;
BALME;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;9;;
BALME;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;0;;
BALME;STEFANO DE LUCA ;P.LIBERALE ITALIANO;1;;
