PIOBESI TORINESE ;2908;2495;22;110;
PIOSSASCO ;14065;11586;82;431;
PISCINA ;2633;2143;25;96;
PIVERONE ;1073;908;12;31;
POIRINO ;7787;6408;41;242;
POMARETTO ;939;735;3;38;
PONT-CANAVESE ;2978;2289;45;119;
PORTE ;817;678;7;31;
PRAGELATO ;480;406;2;18;
PRALI ;242;207;3;5;
PRALORMO ;1439;1187;8;43;
PRAMOLLO ;222;171;3;13;
PRAROSTINO ;1045;780;4;39;
PRASCORSANO ;656;498;8;21;
PRATIGLIONE ;466;305;5;17;
QUAGLIUZZO ;268;237;4;16;
QUASSOLO ;301;240;5;13;
QUINCINETTO ;900;740;13;42;
REANO ;1309;1053;8;31;
RIBORDONE ;74;52;2;3;
RIVALBA ;883;765;9;24;
RIVALTA DI TORINO ;14998;12584;76;421;
RIVA PRESSO CHIERI ;3155;2639;21;89;
RIVARA ;2152;1670;19;88;
RIVAROLO CANAVESE ;9821;8131;149;374;
RIVAROSSA ;1217;983;10;39;
RIVOLI ;41270;33577;193;1039;
ROBASSOMERO ;2452;2048;9;59;
ROCCA CANAVESE ;1407;1093;15;42;
ROLETTO ;1674;1393;11;55;
ROMANO CANAVESE ;2364;1913;7;62;
RONCO CANAVESE ;297;187;3;5;
RONDISSONE ;1400;1160;10;41;
RORA' ;216;176;2;8;
ROSTA ;3539;3011;16;91;
ROURE ;789;702;28;72;
RUBIANA ;1824;1449;28;72;
RUEGLIO ;663;416;5;27;
SALASSA ;1387;1073;17;60;
SALBERTRAND ;425;303;4;5;
SALERANO CANAVESE ;439;378;6;15;
SALZA DI PINEROLO ;62;53;2;5;
SAMONE ;1288;1038;12;52;
SAN BENIGNO CANAVESE ;4372;3558;31;115;
SAN CARLO CANAVESE ;3091;2532;23;103;
SAN COLOMBANO BELMONTE ;311;247;4;13;
SAN DIDERO ;463;375;4;21;
SAN FRANCESCO AL CAMPO ;3807;3041;24;144;
SANGANO ;3174;2661;17;78;
SAN GERMANO CHISONE ;1506;1165;14;66;
SAN GILLIO ;2353;1945;16;79;
SAN GIORGIO CANAVESE ;2018;1611;24;72;
SAN GIORIO DI SUSA ;845;676;17;52;
SAN GIUSTO CANAVESE ;2643;2065;14;75;
SAN MARTINO CANAVESE ;700;592;3;25;
SAN MAURIZIO CANAVESE ;7091;5887;54;256;
SAN MAURO TORINESE ;15509;12990;56;400;
